country_code,country_name,start_year,end_year,label_end_year,classification,source_table_row,source_country_text,source_start_text,source_end_text,source_table,source_url,source_pdf_sha256
NIC,Nicaragua,1990,1993.0,1993,systemic,108,Nicaragua,1990,1993,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
NIC,Nicaragua,2000,2001.0,2001,systemic,109,Nicaragua,2000,2001,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
NIC,Nicaragua,2018,2020.0,2020,borderline,110,Nicaragua,2018,2020,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
NER,Niger,1983,1985.0,1985,systemic,111,Niger,1983,1985,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
NGA,Nigeria,1991,1995.0,1995,systemic,112,Nigeria,1991,1995 5/,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
NGA,Nigeria,2009,2012.0,2012,systemic,113,Nigeria,2009,2012,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
MKD,North Macedonia,1993,1995.0,1995,systemic,114,North Macedonia,1993,1995,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
NOR,Norway,1991,1993.0,1993,systemic,115,Norway,1991,1993,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
PAN,Panama,1988,1989.0,1989,systemic,116,Panama,1988,1989,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
PRY,Paraguay,1995,1995.0,1995,systemic,117,Paraguay,1995,1995,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
PER,Peru,1983,1983.0,1983,systemic,118,Peru,1983,1983,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
PHL,Philippines,1983,1986.0,1986,systemic,119,Philippines,1983,1986,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
PHL,Philippines,1997,2001.0,2001,systemic,120,Philippines,1997,2001 5/,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
POL,Poland,1992,1994.0,1994,systemic,121,Poland,1992,1994,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
PRT,Portugal,2008,2012.0,2012,systemic,122,Portugal,2008,2012 5/,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
COG,Republic of Congo,1992,1994.0,1994,systemic,123,Republic of Congo,1992,1994,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
COG,Republic of Congo,2017,2020.0,2020,systemic,124,Republic of Congo,2017,2020,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
ROU,Romania,1998,1999.0,1999,systemic,125,Romania,1998,1999,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
RUS,Russia,1998,1998.0,1998,systemic,126,Russia,1998,1998,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
RUS,Russia,2008,2009.0,2009,systemic,127,Russia,2008,2009,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
STP,São Tomé and Príncipe,1992,1992.0,1992,systemic,128,São Tomé and Príncipe,1992,1992,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
STP,São Tomé and Príncipe,2016,2020.0,2020,systemic,129,São Tomé and Príncipe,2016,2020 5/,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
SEN,Senegal,1988,1991.0,1991,systemic,130,Senegal,1988,1991,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
SLE,Sierra Leone,1990,1994.0,1994,systemic,131,Sierra Leone,1990,1994 5/,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
SVK,Slovak Republic,1998,2002.0,2002,systemic,132,Slovak Republic,1998,2002 5/,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
SVN,Slovenia,1992,1992.0,1992,systemic,133,Slovenia,1992,1992,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
SVN,Slovenia,2008,2012.0,2012,systemic,134,Slovenia,2008,2012 5/,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
ESP,Spain,1977,1981.0,1981,systemic,135,Spain,1977,1981 5/,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
ESP,Spain,2008,2012.0,2012,systemic,136,Spain,2008,2012 5/,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
LKA,Sri Lanka,1989,1991.0,1991,systemic,137,Sri Lanka,1989,1991,"Appendix I, Table A1",https://www.imf.org/en/publications/wp/issues/2026/05/14/systemic-banking-crises-database-1970-2025-576036,266074fede721a5254b60b2c2800e68c996cf11305fcb42e8ed005845b1bebb1
